,Unnamed: 0,0,1
56,56,AM i programmer after this video? ;),0
57,57,"got tired of listening to laggy videos and indian accents on stackskills so looked this up, thank you for making, ill have to save for later",0
58,58,this is awesome for revision for beginner like me...  thanks!,0
59,59,"does this work for python 3? i dont think u mentioned which it was and i dont want to assume that since you're using """" in print functions it is 3",1
60,60,and now I know python?,0
61,61,"dear Francis, i'm following your channel from a long time ago, i usually don't write comments, but for i think i commented on most of your videos, 
PLEASE ANSWER ME, i have two queries:
-in ""make your own es.vc"" series you haven't shown us how to allow visitors/users register their domains, can you provide source code or another tutorial?",1
62,62,This was great,0
63,63,I'm also making videos on Python programming language,0
64,64,Thanks so much,1
65,65,Wait is this the entire python language?,1
66,66,This looks like hacking,0
67,67,Can you make video how to compile .py file which has additional modules such as requests with Nuitka ?,0
68,68,Great job!!!,0
69,69,"6
LIAR",0
70,70,is it that good?,0
71,71,Python is my next destiny.,1
72,72,"Nice, got a job as a python developer after watching this video.",1
73,73,Great video and great way to learn python,0
74,74,Can you show how to make an app,0
75,75,Lá no video criando rede social tá dando erro pra poder conectar com o banco de dados não to colocanddo nada errado to usando o códingo que vc deixou pra baixar,0
76,76,Thanks buddy,0
77,77,"How can i fix the 304 not modified error in chrome browser JSON.parse(<anonimous>) ,,in your NEW SOCIAL NETWORK series  ....,plleeeasse help",0
78,78,missed tuples,0
79,79,Best video it shld get million views gud content,0
80,80,You just won a fan dude,0
81,81,Play the video in 2x now you can learn in 2.5mins,1
82,82,caan,0
83,83,Good job,0
84,84,lol,0
85,85,Awesome 😀,0
86,86,Thiiis !!!,0
87,87,Try the 0.75 speed it will be really blasty but will be like original,1
88,88,What a hideous language...,0
89,89,Have a test about codecombat tomorrow and the teacher gave us a fat packet and i am NOT looking at that packet. he said we should know this but Im pretty sure he's never taught us anything in that class. So thats why im here lol,0
90,90,Super video,0
91,91,Which is better and more convenient for the web development: php or python?,0
92,92,This is way better than a 4 hour video lol,0
93,93,"great video, best way to learn everything <3",0
94,94,could you please upload more Python video in detail with Djanog framework please?,3
95,95,"Did u know fact:
If u download this video(not in youtube da) and make this video 5x faster and save and then again edit it with 5x and again....,u might end up studying python for 1 sec....duh",0
96,96,this video is horrible I cannot work properly,0
